32.7 % of all households were made up of individuals and 15.7 % had someone living alone who was 65 years of age or older .	1.00	32	made	were	[CLS]	.
A cafeteria is also located on the sixth floor , a chapel on the 14th floor , and a study hall on the 15th floor .	1.00	A	.	floor	[CLS]	None
A cafeteria is also located on the sixth floor , a chapel on the 14th floor , and a study hall on the 15th floor .	1.00	[PAD]	[SEP]	[PAD]	None	None
A short distance to the east , NC 111 diverges on Greenwood Boulevard .	1.00	A	the	to	None	None
As in his first novel , Armah contrasts the two worlds of materialism and moral values , corruption and dreams , two worlds of integrity and social pressure .	1.00	As	.	pressure	[CLS]	None
As in his first novel , Armah contrasts the two worlds of materialism and moral values , corruption and dreams , two worlds of integrity and social pressure .	1.00	[PAD]	[SEP]	[PAD]	None	None
At no cost to the parents , these services are provided in compliance with state and federal law ; and are reasonably calculated to yield meaningful educational benefit and student progress .	1.00	At	[PAD]	[PAD]	[CLS]	None
Because of Muhammad 's role in its formation , the alliance plays a significant role in Islamic ethics .	1.00	Because	.	ethics	[CLS]	None
Because of Muhammad 's role in its formation , the alliance plays a significant role in Islamic ethics .	1.00	[PAD]	[SEP]	[PAD]	None	None
Bruce 's Justice Lord counterpart was happily married to Wonder Woman as well until her Justice Lord counterpart killed him .	1.00	[PAD]	[SEP]	[PAD]	[CLS]	None
From 1909 to 1912 , the Miami Canal was dug , bypassing the rapids at the head of the North Fork .	1.00	From	##s	rapid	[CLS]	None
He is idolized , receiving the name of `` God '' .	1.00	[PAD]	[SEP]	[PAD]	[CLS]	None
In Canada , there are two organizations that regulate university and collegiate athletics .	1.00	[PAD]	[SEP]	[PAD]	[CLS]	None
In French , `` droit '' can mean `` the whole body of the Law '' , as in the motto `` dieu et mon droit , '' which is to say `` God and my whole body of Law . ''	1.00	`	to	is	None	None
In September 1941 , she joined the Women 's Auxiliary Air Force , working at the Department of the Chief of Air Staff as Assistant Section Officer for Intelligence duties , before being posted in July 1942 to Moreton-in-Marsh , where she was promoted to Section officer .	1.00	Department	Chief	the	None	None
In September 1941 , she joined the Women 's Auxiliary Air Force , working at the Department of the Chief of Air Staff as Assistant Section Officer for Intelligence duties , before being posted in July 1942 to Moreton-in-Marsh , where she was promoted to Section officer .	1.00	[PAD]	[PAD]	[PAD]	None	[SEP]
In September 1941 , she joined the Women 's Auxiliary Air Force , working at the Department of the Chief of Air Staff as Assistant Section Officer for Intelligence duties , before being posted in July 1942 to Moreton-in-Marsh , where she was promoted to Section officer .	1.00	[PAD]	[PAD]	[PAD]	None	None
In September 1941 , she joined the Women 's Auxiliary Air Force , working at the Department of the Chief of Air Staff as Assistant Section Officer for Intelligence duties , before being posted in July 1942 to Moreton-in-Marsh , where she was promoted to Section officer .	1.00	[PAD]	[PAD]	[PAD]	None	None
In September 1941 , she joined the Women 's Auxiliary Air Force , working at the Department of the Chief of Air Staff as Assistant Section Officer for Intelligence duties , before being posted in July 1942 to Moreton-in-Marsh , where she was promoted to Section officer .	1.00	[PAD]	[PAD]	[PAD]	None	None
In September 1941 , she joined the Women 's Auxiliary Air Force , working at the Department of the Chief of Air Staff as Assistant Section Officer for Intelligence duties , before being posted in July 1942 to Moreton-in-Marsh , where she was promoted to Section officer .	1.00	[PAD]	[PAD]	[PAD]	None	None
In September 1941 , she joined the Women 's Auxiliary Air Force , working at the Department of the Chief of Air Staff as Assistant Section Officer for Intelligence duties , before being posted in July 1942 to Moreton-in-Marsh , where she was promoted to Section officer .	1.00	[PAD]	[PAD]	[PAD]	[PAD]	None
